0,1,2,3,4,5,6,7,8
1,236PB1361,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-07-20 07:51:18.080800+07:00,
2,43FF9122,4.1902,-246.7292,5.0534,-94.4722,,2023-07-20 07:51:18.080800+07:00,
3,1,2,3,4,5,,,
4,43FF9123,10.8518,-158.4612,9.8839,-214.6231,,2023-07-20 07:51:18.080800+07:00,
5,236BF233,3.6544,-174.9465,3.2472,-81.6759,,2023-07-20 07:51:18.080800+07:00,
6,236BF233,3.4244,-174.9465,3.2472,-81.6759,,2023-07-20 07:51:18.080800+07:00,
7,43FF9122,4.2902,-246.7292,5.0534,-94.4722,,2023-07-20 15:19:36.660847+07:00,
8,43FF9123,9.83,-158.4612,9.8839,-214.6231,,2023-07-20 15:43:56.681307+07:00,
9,236BF233,3.6144,-174.9465,3.2472,-81.6759,,2023-07-24 08:21:54.457012+07:00,24-07-2023  08:21:54
10,236BF233,3.6244,-174.9465,3.2472,-81.6759,,2023-07-31 12:30:28.187511+07:00,31-07-2023  12:30:28
11,236BF233,3.6244,-174.9465,3.2472,-81.6759,,2023-07-31 12:31:04.787018+07:00,31-07-2023  12:31:04
